ID,Term,Definition (English),Alignment with Battery Passport,Category,용어,정의,배터리 여권 정렬,범주,المصطلح,التعريف,المحاذاة مع جواز السفر للبطارية,الفئة,用語,定義,バッテリーパスポートの整合性,カテゴリ,术语,定义,电池护照一致性,类别,ID
400077,Safety Monitoring System,System that continuously monitors battery safety metrics.,Module 9 - Safety Monitoring,Safety Standards,안전 모니터링 시스템,배터리 안전 메트릭을 지속적으로 모니터링하는 시스템입니다.,모듈 9 - 안전 모니터링,안전 기준,نظام مراقبة السلامة,نظام يراقب باستمرار مؤشرات سلامة البطارية.,توثيق أصل المواد,التتبع,主要原材料の出所,バッテリー製造に使用される主要な材料の出所の文書化。,材料の原産地文書化,トレーサビリティ,主要原材料来源,用于电池生产的主要材料来源的文档。,材料来源文件,可追溯性,400101
400049,Second-Life Battery Market,Market for repurposing batteries after their initial lifecycle in different applications.,Second-Life Market Expansion,Lifecycle Management,이차 수명 배터리 시장,다양한 용도로 처음 수명을 다한 후 배터리를 재사용하기 위한 시장입니다.,이차 수명 시장 확장,수명 주기 관리,سوق البطاريات للحياة الثانية,سوق لإعادة استخدام البطاريات بعد دورة حياتها الأولية في تطبيقات مختلفة.,تتبع العبوات,التتبع,バッテリーパックの追跡,製造から廃棄までの各バッテリーパックの追跡可能性。,パックの追跡性,トレーサビリティ,电池组追踪,从制造到报废的每个电池包的可追溯性。,包追踪,可追溯性,400102
400113,Self-Discharge Rate,The rate at which a battery loses its charge when not in use.,Self-Discharge Standard,Core Battery Attribute,자체 방전율,배터리가 사용되지 않을 때 충전을 잃는 비율입니다.,자기 방전 표준,핵심 배터리 속성,معدل التفريغ الذاتي,معدل فقدان البطارية لشحنتها عندما لا تكون قيد الاستخدام.,تتبع الأرقام التسلسلية,التتبع,バッテリーパックのシリアル番号,トレーサビリティのために各バッテリーパックに割り当てられる固有のシリアル番号。,シリアル番号の追跡性,トレーサビリティ,电池组序列号,为每个电池组分配的唯一序列号，用于追溯。,序列号追踪,可追溯性,400103
400005,Sourcing Transparency,Degree of transparency in sourcing practices for battery materials.,Sustainability - Transparency,Compliance,소싱 투명성,배터리 재료에 대한 조달 관행의 투명도 수준입니다.,지속 가능성 - 투명성,준수,شفافية المصدر,درجة الشفافية في ممارسات توفير المواد للبطارية.,تحديد الخلايا,التتبع,バッテリーセルの識別,バッテリーパック内の各バッテリーセルの識別方法。,セルの識別,トレーサビリティ,电池单元识别,电池组内单个电池单元的识别方法。,电池单元识别,可追溯性,400104
400051,State of Charge (SoC),Measurement of the current battery charge level.,Core Battery Attribute,Core Battery Attribute,충전 상태 (SoC),현재 배터리 충전 수준을 측정합니다.,핵심 배터리 속성,핵심 배터리 속성,حالة الشحن (SoC),قياس مستوى الشحن الحالي للبطارية,تتبع التجميع,التتبع,バッテリー組立の追跡,バッテリー組立に関わるコンポーネントおよびプロセスの追跡。,組立の追跡性,トレーサビリティ,电池组装追踪,电池组装中涉及的组件和过程的可追溯性。,组装追踪,可追溯性,400105
400020,State of Charge Estimation,Algorithm estimating the battery's current state of charge.,State of Charge Estimation,Core Battery Attribute,충전 상태 추정,배터리의 현재 충전 상태를 추정하는 알고리즘입니다.,충전 상태 추정,핵심 배터리 속성,تقدير حالة الشحن,خوارزمية لتقدير حالة الشحن الحالية للبطارية.,شفافية سلسلة التوريد العالمية,الامتثال,グローバルサプライチェーンの透明性,材料とプロセスを追跡するためのグローバルサプライチェーンの透明性。,グローバルサプライチェーンの透明性,コンプライアンス,全球供应链透明度,用于跟踪材料和过程的全球供应链透明度。,全球供应链透明度,合规,400106
400088,Supply Chain CO2 Tracking,Tracking CO2 emissions along the battery's supply chain.,Carbon Emissions Tracking,Sustainability Standards,공급망 CO2 추적,배터리의 공급망 전반에 걸쳐 CO2 배출을 추적합니다.,탄소 배출 추적,지속 가능성 표준,تتبع CO2 في سلسلة التوريد,تتبع انبعاثات ثاني أكسيد الكربون على طول سلسلة توريد البطارية.,تقرير الانبعاثات,معايير الاستدامة,サプライチェーンの排出レポート,バッテリー生産に関与するサプライチェーン全体の排出報告。,排出報告,持続可能性基準,供应链排放报告,报告电池生产中供应链的排放情况。,排放报告,可持续性标准,400107
400001,Supply Chain Due Diligence,"Ensures ethical sourcing practices, particularly for critical materials like lithium and cobalt.",Sustainability - Ethical Sourcing,Compliance,공급망 실사,리튬 및 코발트와 같은 중요한 자원의 윤리적 조달 관행을 보장합니다.,지속 가능성 - 윤리적 소싱,준수,العناية الواجبة في سلسلة التوريد,العناية الواجبة في سلسلة التوريد,معيار دورة الحياة,السمة الأساسية للبطارية,サイクル寿命,バッテリーが元の容量の一定割合を下回るまでに行える完全な充電と放電のサイクル数。,サイクルライフ標準,コアバッテリー属性,循环寿命,电池在容量下降到初始容量的某个百分比以下之前可以经历的完整充电和放电周期数。,循环寿命标准,核心电池特性,400108
400107,Supply Chain Emission Reporting,Reporting emissions across the supply chain involved in battery production.,Emission Reporting,Sustainability Standards,공급망 배출 보고,배터리 생산 과정에서의 공급망 전반에 걸친 배출 보고입니다.,배출 보고,지속 가능성 표준,تقرير انبعاثات سلسلة التوريد,تقرير الانبعاثات عبر سلسلة التوريد المشاركة في إنتاج البطارية.,تتبع عمق التفريغ,السمة الأساسية للبطارية,放電深度 (DoD),総容量に対する放電されたバッテリー容量の割合。,放電深度の追跡,コアバッテリー属性,放电深度 (DoD),相对于总容量，已放电的电池容量的百分比。,放电深度追踪,核心电池特性,400109
400115,Swappable Battery Modules,Battery modules designed for easy replacement and maintenance.,Modular Lifecycle Extension,Design Innovation,교체형 배터리 모듈,쉽게 교체하고 유지보수할 수 있도록 설계된 배터리 모듈입니다.,모듈형 수명 연장,디자인 혁신,وحدات البطارية القابلة للتبديل,وحدات البطارية مصممة لتسهيل الاستبدال والصيانة.,الامتثال للجهد الاسمي,السمة الأساسية للبطارية,定格電圧,放電中にバッテリーが通常動作する電圧。,定格電圧の遵守,コアバッテリー属性,额定电压,电池在放电过程中通常运行的电压。,额定电压合规性,核心电池特性,400110
400114,Thermal Conductivity Material,Materials enhancing heat flow within the battery for stability.,Thermal Conductivity Standards,Thermal Management,열전도성 소재,배터리 내 열 흐름을 촉진하여 안정성을 유지하는 소재입니다.,열 전도성 표준,열 관리,مادة التوصيل الحراري,مواد تعزز تدفق الحرارة داخل البطارية من أجل الاستقرار.,تقييم الكفاءة,إدارة الحرارة,内部抵抗,電流の流れに対するバッテリー内の抵抗で、エネルギー効率と発熱に影響を与える。,効率の評価,熱管理,内阻,电池内部对电流流动的阻力，影响能量效率和热量产生。,效率评估,热管理,400111
400096,Thermal Management System,System that manages battery temperature to prevent overheating.,Thermal Management System,Safety Standards,열 관리 시스템,과열 방지를 위해 배터리 온도를 관리하는 시스템입니다.,열 관리 시스템,안전 기준,نظام إدارة الحرارة,نظام يدير درجة حرارة البطارية لمنع ارتفاع درجة الحرارة.,قابلية قبول الشحن,السمة الأساسية للبطارية,充電許容性,温度と健康状態に影響されるバッテリーの充電受け入れ率。,充電受け入れ能力,コアバッテリー属性,充电接受度,电池接受充电的速度，通常受温度和健康状况的影响。,充电接受能力,核心电池特性,400112
400071,Thermal Runaway,A failure mode of batteries where internal heating leads to self-sustained thermal reactions.,Safety Compliance,Safety Standards,열폭주,배터리 내부 가열로 인해 자기 지속적인 열반응이 발생하는 배터리 고장 모드입니다.,안전 준수,안전 기준,الهروب الحراري,وضع فشل للبطاريات حيث يؤدي التسخين الداخلي إلى تفاعلات حرارية ذاتية الاستدامة,معيار التفريغ الذاتي,السمة الأساسية للبطارية,自己放電率,使用されていないときにバッテリーが放電する速度。,自己放電標準,コアバッテリー属性,自放电率,电池在不使用时失去电量的速度。,自放电标准,核心电池特性,400113
400074,Thermal Runaway Prevention,"Mechanisms to prevent thermal runaway, a critical safety risk in lithium-ion batteries.",Module 9 - Safety Compliance,Safety Standards,열폭주 방지,리튬이온 배터리의 중요한 안전 위험인 열폭주를 방지하는 메커니즘입니다.,모듈 9 - 안전 준수,안전 기준,منع الهروب الحراري,منع الهروب الحراري,معايير التوصيل الحراري,إدارة الحرارة,熱伝導性材料,バッテリー内の熱流動を安定化のために促進する材料。,熱伝導率基準,熱管理,导热材料,增强电池内热流动以保持稳定的材料。,热导率标准,热管理,400114
400002,Traceability ID,"Unique identifier allowing tracking of batteries throughout the lifecycle, from production to recycling.",Core Battery Attribute,Traceability,추적 ID,생산부터 재활용까지 배터리 수명 주기 전반에 걸쳐 추적할 수 있는 고유 식별자입니다.,핵심 배터리 속성,추적성,معرف التتبع,معرف التتبع,تمديد دورة الحياة النمطية,ابتكار التصميم,交換可能なバッテリーモジュール,交換やメンテナンスを容易にするように設計されたバッテリーモジュール。,モジュールのライフサイクル拡張,デザインイノベーション,可更换的电池模块,设计用于易于更换和维护的电池模块。,模块生命周期延长,设计创新,400115
400036,Water Usage in Production,"Measure of water consumption in battery manufacturing, key for environmental sustainability.",Sustainability - Water Management,Sustainability Standards,생산에서의 물 사용량,환경 지속 가능성의 핵심으로 배터리 제조에서의 물 소비량을 측정합니다.,지속 가능성 - 물 관리,지속 가능성 표준,استخدام المياه في الإنتاج,استخدام المياه في الإنتاج,معايير تصميم البطاريات المرنة,ابتكار التصميم,柔軟なバッテリーデザイン,さまざまな用途向けに曲げたり形作ったりできるバッテリーデザイン。,柔軟なバッテリーデザイン標準,デザインイノベーション,柔性电池设计,允许弯曲或成型以适应不同应用的电池设计。,柔性电池设计标准,设计创新,400116
